,,Ladder score,Social support,,,,,,,,,,,,,,,,,,,,,,
,,x,y,,,xy,x2,y2,,(x - x?),(y - y? ),(x - x?)(y - y? ),(x - x?)2,(y - y? )2,,,,,,,,,,,
,1.12149,,0.34751,0.1207632,0.30915,0.095573723,0.013330484,,-0.015615357,0.000243839,-0.34751,0.1207632,,,,,,,,,,,,,
,1.11965,,0.03435,0.001179922,-0.31316,0.098069186,0.011936969,,-0.017455357,0.000304689,-0.03435,0.001179922,,,,,,,,,,,,,
,1.11206,,0.25694,0.066018164,0.22259,0.049546308,0.008825889,,-0.025045357,0.00062727,-0.25694,0.066018164,,,,,,,,,,,,,
,1.09987,,0.17713,0.031375037,-0.07981,0.006369636,0.045511782,,-0.037235357,0.001386472,-0.17713,0.031375037,,,,,,,,,,,,,
,1.09872,,0.09228,0.008515598,-0.08485,0.007199522,0.016345556,,-0.038385357,0.001473436,-0.09228,0.008515598,,,,,,,,,,,,,
,1.08768,,0.09632,0.009277542,0.00404,1.63E-05,0.00888841,,-0.049425357,0.002442866,-0.09632,0.009277542,,,,,,,,,,,,,
,1.08492,,-0.16092,0.025895246,-0.25724,0.066172418,-0.015499814,,-0.052185357,0.002723312,0.16092,0.025895246,,,,,,,,,,,,,
,1.06583,,-0.44383,0.196985069,-0.28291,0.080038068,0.071421124,,-0.071275357,0.005080177,0.44383,0.196985069,,,,,,,,,,,,,
,1.06468,,-0.18168,0.033007622,0.26215,0.068722623,0.080635034,,-0.072425357,0.005245432,0.18168,0.033007622,,,,,,,,,,,,,
,1.05755,,-0.06755,0.004563003,0.11413,0.013025657,0.012272484,,-0.079555357,0.006329055,0.06755,0.004563003,,,,,,,,,,,,,
,1.05318,,-0.05718,0.003269552,0.01037,0.000107537,0.003862509,,-0.083925357,0.007043466,0.05718,0.003269552,,,,,,,,,,,,,
,1.05134,,-0.06134,0.003762596,-0.00416,1.73E-05,0.003507421,,-0.085765357,0.007355696,0.06134,0.003762596,,,,,,,,,,,,,
,1.04697,,-0.20097,0.040388941,-0.13963,0.019496537,0.0123275,,-0.090135357,0.008124383,0.20097,0.040388941,,,,,,,,,,,,,
,1.03938,,-0.00138,1.90E-06,0.19959,0.039836168,0.000277339,,-0.097725357,0.009550245,0.00138,1.90E-06,,,,,,,,,,,,,
,1.0334,,-0.4554,0.20738916,-0.45402,0.20613416,0.000628452,,-0.103705357,0.010754801,0.4554,0.20738916,,,,,,,,,,,,,
,1.02029,,-0.39829,0.158634924,0.05711,0.003261552,0.181381266,,-0.116815357,0.013645828,0.39829,0.158634924,,,,,,,,,,,,,
